issue_id,module,title,symptoms,root_cause,diagnosis_steps,resolution,verification,related_tcodes,related_tables,priority,keywords
ISS0243,MM,Custom Issue 242,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0242,ZTAB0242,Medium,mm
ISS0244,MM,Custom Issue 243,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0243,ZTAB0243,Medium,mm
ISS0245,FI,Custom Issue 244,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0244,ZTAB0244,Low,fi
ISS0246,SD,Custom Issue 245,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0245,ZTAB0245,High,sd
ISS0247,WM,Custom Issue 246,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0246,ZTAB0246,Low,wm
ISS0248,PP,Custom Issue 247,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0247,ZTAB0247,Critical,pp
ISS0249,FI,Custom Issue 248,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0248,ZTAB0248,Medium,fi
ISS0250,SD,Custom Issue 249,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0249,ZTAB0249,High,sd
ISS0251,SD,Custom Issue 250,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0250,ZTAB0250,Medium,sd
ISS0252,PP,Custom Issue 251,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0251,ZTAB0251,Critical,pp
ISS0253,MM,Custom Issue 252,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0252,ZTAB0252,Critical,mm
ISS0254,QM,Custom Issue 253,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0253,ZTAB0253,High,qm
ISS0255,PP,Custom Issue 254,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0254,ZTAB0254,High,pp
ISS0256,MM,Custom Issue 255,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0255,ZTAB0255,Low,mm
ISS0257,QM,Custom Issue 256,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0256,ZTAB0256,High,qm
ISS0258,SD,Custom Issue 257,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0257,ZTAB0257,Low,sd
ISS0259,WM,Custom Issue 258,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0258,ZTAB0258,Critical,wm
ISS0260,PP,Custom Issue 259,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0259,ZTAB0259,High,pp
ISS0261,FI,Custom Issue 260,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0260,ZTAB0260,Critical,fi
ISS0262,QM,Custom Issue 261,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0261,ZTAB0261,Low,qm
ISS0263,FI,Custom Issue 262,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0262,ZTAB0262,High,fi
ISS0264,MM,Custom Issue 263,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0263,ZTAB0263,Medium,mm
ISS0265,MM,Custom Issue 264,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0264,ZTAB0264,Low,mm
ISS0266,QM,Custom Issue 265,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0265,ZTAB0265,Low,qm
ISS0267,PP,Custom Issue 266,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0266,ZTAB0266,Critical,pp
ISS0268,PP,Custom Issue 267,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0267,ZTAB0267,Medium,pp
ISS0269,FI,Custom Issue 268,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0268,ZTAB0268,Low,fi
ISS0270,SD,Custom Issue 269,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0269,ZTAB0269,Medium,sd
ISS0271,MM,Custom Issue 270,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0270,ZTAB0270,Medium,mm
ISS0272,PP,Custom Issue 271,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0271,ZTAB0271,Medium,pp
ISS0273,MM,Custom Issue 272,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0272,ZTAB0272,High,mm
ISS0274,FI,Custom Issue 273,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0273,ZTAB0273,Low,fi
ISS0275,SD,Custom Issue 274,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0274,ZTAB0274,High,sd
ISS0276,WM,Custom Issue 275,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0275,ZTAB0275,Critical,wm
ISS0277,FI,Custom Issue 276,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0276,ZTAB0276,Medium,fi
ISS0278,SD,Custom Issue 277,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0277,ZTAB0277,Critical,sd
ISS0279,PP,Custom Issue 278,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0278,ZTAB0278,Critical,pp
ISS0280,MM,Custom Issue 279,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0279,ZTAB0279,Medium,mm
ISS0281,PP,Custom Issue 280,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0280,ZTAB0280,Critical,pp
ISS0282,MM,Custom Issue 281,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0281,ZTAB0281,Medium,mm
ISS0283,PP,Custom Issue 282,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0282,ZTAB0282,Low,pp
ISS0284,WM,Custom Issue 283,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0283,ZTAB0283,Low,wm
ISS0285,FI,Custom Issue 284,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0284,ZTAB0284,High,fi
ISS0286,WM,Custom Issue 285,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0285,ZTAB0285,High,wm
ISS0287,SD,Custom Issue 286,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0286,ZTAB0286,Critical,sd
ISS0288,WM,Custom Issue 287,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0287,ZTAB0287,Critical,wm
ISS0289,QM,Custom Issue 288,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0288,ZTAB0288,Low,qm
ISS0290,QM,Custom Issue 289,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0289,ZTAB0289,Critical,qm
ISS0291,QM,Custom Issue 290,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0290,ZTAB0290,Critical,qm
ISS0292,MM,Custom Issue 291,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0291,ZTAB0291,High,mm
ISS0293,SD,Custom Issue 292,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0292,ZTAB0292,Low,sd
ISS0294,WM,Custom Issue 293,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0293,ZTAB0293,High,wm
ISS0295,SD,Custom Issue 294,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0294,ZTAB0294,Critical,sd
ISS0296,SD,Custom Issue 295,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0295,ZTAB0295,Critical,sd
ISS0297,QM,Custom Issue 296,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0296,ZTAB0296,Critical,qm
ISS0298,MM,Custom Issue 297,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0297,ZTAB0297,Medium,mm
ISS0299,QM,Custom Issue 298,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0298,ZTAB0298,Medium,qm
ISS0300,PP,Custom Issue 299,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0299,ZTAB0299,High,pp
ISS0301,SD,Custom Issue 300,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0300,ZTAB0300,Low,sd
ISS0302,FI,Custom Issue 301,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0301,ZTAB0301,Critical,fi
ISS0303,WM,Custom Issue 302,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0302,ZTAB0302,High,wm
ISS0304,MM,Custom Issue 303,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0303,ZTAB0303,Low,mm
ISS0305,QM,Custom Issue 304,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0304,ZTAB0304,Low,qm
ISS0306,MM,Custom Issue 305,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0305,ZTAB0305,Critical,mm
ISS0307,QM,Custom Issue 306,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0306,ZTAB0306,Low,qm
ISS0308,FI,Custom Issue 307,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0307,ZTAB0307,High,fi
ISS0309,QM,Custom Issue 308,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0308,ZTAB0308,Critical,qm
ISS0310,WM,Custom Issue 309,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0309,ZTAB0309,Medium,wm
ISS0311,SD,Custom Issue 310,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0310,ZTAB0310,Medium,sd
ISS0312,SD,Custom Issue 311,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0311,ZTAB0311,Low,sd
ISS0313,FI,Custom Issue 312,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0312,ZTAB0312,Medium,fi
ISS0314,QM,Custom Issue 313,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0313,ZTAB0313,High,qm
ISS0315,FI,Custom Issue 314,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0314,ZTAB0314,Critical,fi
ISS0316,WM,Custom Issue 315,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0315,ZTAB0315,Low,wm
ISS0317,FI,Custom Issue 316,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0316,ZTAB0316,Critical,fi
ISS0318,WM,Custom Issue 317,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0317,ZTAB0317,Medium,wm
ISS0319,WM,Custom Issue 318,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0318,ZTAB0318,Critical,wm
ISS0320,SD,Custom Issue 319,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0319,ZTAB0319,Low,sd
ISS0321,PP,Custom Issue 320,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0320,ZTAB0320,Medium,pp
ISS0322,FI,Custom Issue 321,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0321,ZTAB0321,Low,fi
ISS0323,QM,Custom Issue 322,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0322,ZTAB0322,High,qm
ISS0324,MM,Custom Issue 323,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0323,ZTAB0323,Low,mm
ISS0325,SD,Custom Issue 324,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0324,ZTAB0324,Low,sd
ISS0326,PP,Custom Issue 325,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0325,ZTAB0325,Critical,pp
ISS0327,QM,Custom Issue 326,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0326,ZTAB0326,Critical,qm
ISS0328,QM,Custom Issue 327,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0327,ZTAB0327,Medium,qm
ISS0329,MM,Custom Issue 328,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0328,ZTAB0328,High,mm
ISS0330,PP,Custom Issue 329,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0329,ZTAB0329,High,pp
ISS0331,MM,Custom Issue 330,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0330,ZTAB0330,Medium,mm
ISS0332,QM,Custom Issue 331,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0331,ZTAB0331,Medium,qm
ISS0333,FI,Custom Issue 332,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0332,ZTAB0332,High,fi
ISS0334,PP,Custom Issue 333,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0333,ZTAB0333,Medium,pp
ISS0335,WM,Custom Issue 334,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0334,ZTAB0334,Medium,wm
ISS0336,PP,Custom Issue 335,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0335,ZTAB0335,Critical,pp
ISS0337,PP,Custom Issue 336,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0336,ZTAB0336,Critical,pp
ISS0338,SD,Custom Issue 337,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0337,ZTAB0337,Low,sd
ISS0339,MM,Custom Issue 338,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0338,ZTAB0338,Low,mm
ISS0340,WM,Custom Issue 339,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0339,ZTAB0339,High,wm
ISS0341,WM,Custom Issue 340,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0340,ZTAB0340,Medium,wm
ISS0342,FI,Custom Issue 341,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0341,ZTAB0341,Low,fi
ISS0343,FI,Custom Issue 342,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0342,ZTAB0342,Low,fi
ISS0344,QM,Custom Issue 343,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0343,ZTAB0343,Low,qm
ISS0345,FI,Custom Issue 344,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0344,ZTAB0344,Medium,fi
ISS0346,MM,Custom Issue 345,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0345,ZTAB0345,Low,mm
ISS0347,PP,Custom Issue 346,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0346,ZTAB0346,High,pp
ISS0348,PP,Custom Issue 347,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0347,ZTAB0347,Low,pp
ISS0349,WM,Custom Issue 348,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0348,ZTAB0348,Low,wm
ISS0350,FI,Custom Issue 349,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0349,ZTAB0349,Medium,fi
ISS0351,QM,Custom Issue 350,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0350,ZTAB0350,High,qm
ISS0352,SD,Custom Issue 351,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0351,ZTAB0351,Low,sd
ISS0353,PP,Custom Issue 352,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0352,ZTAB0352,Low,pp
ISS0354,QM,Custom Issue 353,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0353,ZTAB0353,High,qm
ISS0355,WM,Custom Issue 354,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0354,ZTAB0354,High,wm
ISS0356,SD,Custom Issue 355,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0355,ZTAB0355,Medium,sd
ISS0357,SD,Custom Issue 356,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0356,ZTAB0356,Medium,sd
ISS0358,SD,Custom Issue 357,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0357,ZTAB0357,Critical,sd
ISS0359,SD,Custom Issue 358,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0358,ZTAB0358,Medium,sd
ISS0360,PP,Custom Issue 359,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0359,ZTAB0359,High,pp
ISS0361,MM,Custom Issue 360,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0360,ZTAB0360,Critical,mm
ISS0362,SD,Custom Issue 361,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0361,ZTAB0361,Medium,sd
ISS0363,FI,Custom Issue 362,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0362,ZTAB0362,Low,fi
ISS0364,WM,Custom Issue 363,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0363,ZTAB0363,Low,wm
ISS0365,FI,Custom Issue 364,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0364,ZTAB0364,Medium,fi
ISS0366,SD,Custom Issue 365,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0365,ZTAB0365,High,sd
ISS0367,QM,Custom Issue 366,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0366,ZTAB0366,Critical,qm
ISS0368,PP,Custom Issue 367,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0367,ZTAB0367,Medium,pp
ISS0369,SD,Custom Issue 368,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0368,ZTAB0368,Low,sd
ISS0370,MM,Custom Issue 369,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0369,ZTAB0369,Low,mm
ISS0371,WM,Custom Issue 370,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0370,ZTAB0370,Critical,wm
ISS0372,FI,Custom Issue 371,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0371,ZTAB0371,Low,fi
ISS0373,MM,Custom Issue 372,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0372,ZTAB0372,Critical,mm
ISS0374,PP,Custom Issue 373,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0373,ZTAB0373,Low,pp
ISS0375,PP,Custom Issue 374,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0374,ZTAB0374,Critical,pp
ISS0376,SD,Custom Issue 375,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZSD0375,ZTAB0375,High,sd
ISS0377,MM,Custom Issue 376,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0376,ZTAB0376,High,mm
ISS0378,PP,Custom Issue 377,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0377,ZTAB0377,Critical,pp
ISS0379,PP,Custom Issue 378,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0378,ZTAB0378,Critical,pp
ISS0380,QM,Custom Issue 379,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0379,ZTAB0379,Medium,qm
ISS0381,PP,Custom Issue 380,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0380,ZTAB0380,Low,pp
ISS0382,MM,Custom Issue 381,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0381,ZTAB0381,High,mm
ISS0383,WM,Custom Issue 382,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZWM0382,ZTAB0382,Critical,wm
ISS0384,FI,Custom Issue 383,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0383,ZTAB0383,Low,fi
ISS0385,FI,Custom Issue 384,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZFI0384,ZTAB0384,Low,fi
ISS0386,MM,Custom Issue 385,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZMM0385,ZTAB0385,Low,mm
ISS0387,QM,Custom Issue 386,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZQM0386,ZTAB0386,High,qm
ISS0388,PP,Custom Issue 387,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0387,ZTAB0387,High,pp
ISS0389,PP,Custom Issue 388,Unexpected SAP system behavior,Configuration or authorization issue,"Review logs, authorization and master data",Correct configuration and retest,Process completed successfully,ZPP0388,ZTAB0388,Low,pp
