tcode,title,module,purpose,description,business_process,related_tables,related_tcodes,common_errors,authorization_objects,keywords
ZQM0218,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0219,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0220,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0221,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0222,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0223,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0224,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0225,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0226,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0227,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0228,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0229,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0230,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0231,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0232,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0233,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0234,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0235,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0236,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0237,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0238,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0239,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0240,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0241,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0242,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0243,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0244,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0245,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0246,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0247,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0248,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0249,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0250,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0251,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0252,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0253,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0254,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0255,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0256,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0257,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0258,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0259,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0260,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0261,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0262,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0263,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0264,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0265,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0266,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0267,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0268,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0269,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0270,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0271,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0272,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0273,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0274,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0275,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0276,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0277,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0278,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0279,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0280,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0281,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0282,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0283,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0284,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0285,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0286,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0287,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0288,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0289,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0290,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0291,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0292,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0293,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0294,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0295,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0296,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0297,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0298,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0299,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0300,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0301,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0302,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0303,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0304,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0305,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0306,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0307,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0308,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0309,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0310,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0311,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0312,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0313,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0314,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0315,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0316,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0317,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0318,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0319,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0320,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0321,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0322,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0323,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0324,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0325,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0326,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0327,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0328,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0329,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0330,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0331,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0332,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0333,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0334,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0335,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0336,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0337,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0338,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0339,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0340,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0341,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0342,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0343,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0344,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0345,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0346,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0347,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0348,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0349,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0350,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0351,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0352,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0353,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0354,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0355,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0356,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0357,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0358,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0359,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0360,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0361,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0362,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0363,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0364,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0365,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0366,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0367,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0368,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0369,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0370,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0371,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0372,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0373,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0374,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0375,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0376,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0377,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0378,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0379,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0380,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0381,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0382,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0383,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0384,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0385,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0386,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0387,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0388,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0389,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0390,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0391,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0392,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0393,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0394,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0395,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0396,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0397,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0398,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0399,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0400,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0401,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0402,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0403,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0404,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0405,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0406,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0407,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0408,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0409,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0410,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0411,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0412,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0413,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0414,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0415,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0416,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0417,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0418,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0419,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0420,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0421,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0422,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0423,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0424,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0425,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0426,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0427,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0428,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0429,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0430,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0431,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0432,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0433,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0434,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0435,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
